date,Open,High,Low,Close,Volume,Company
2025-10-27,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple
2025-10-28,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple
2025-10-29,268.76770579477784,270.8936584399069,266.6018207191691,269.1869201660156,51086700,Apple
2025-10-30,271.4725408872279,273.6184749716116,267.969239224885,270.8836669921875,69886500,Apple
2025-10-31,276.4630533049319,276.79244258078194,268.647962249571,269.85565185546875,86167100,Apple
2025-11-03,269.90556627002525,270.33474092754267,265.74348587775046,268.53814697265625,50194600,Apple
2025-11-04,267.8195068636227,270.9734988318123,267.11086611942017,269.5262756347656,49274800,Apple
2025-11-05,268.0989800730272,271.18312844251227,266.4221834255846,269.6260986328125,43683100,Apple
2025-11-06,267.38037702601645,272.8798740142925,267.38037702601645,269.25677490234375,51204000,Apple
2025-11-07,269.28671541495146,271.7719991063764,266.26248096015127,267.9592590332031,48227400,Apple
2025-11-10,268.7085692371889,273.4741297822401,267.20997142836535,269.1781311035156,41312400,Apple
2025-11-11,269.55775905965567,275.65206242273547,269.5477586519058,274.99267578125,46208300,Apple
2025-11-12,274.74292397164845,275.4722525277038,271.4460210796085,273.21435546875,48398000,Apple
2025-11-13,273.85374352181776,276.4413491841305,271.83564282199285,272.6948547363281,49602800,Apple
2025-11-14,270.7965900477885,275.70200347225597,269.3479639093673,272.15533447265625,47431300,Apple
2025-11-17,268.5687054184609,270.2371271729127,265.48159771217263,267.2099609375,45018300,Apple
2025-11-18,269.7376065335732,270.4569347049811,265.0719890725528,267.19000244140625,45677300,Apple
2025-11-19,265.2817633125939,271.9555110777923,265.2517925781922,268.3089294433594,40424500,Apple
2025-11-20,270.5768036466949,275.17250947675234,265.67142054546326,266.0010986328125,45823600,Apple
2025-11-21,265.70137680880595,273.0744516711978,265.4216397990326,271.2361755371094,59030800,Apple
2025-11-24,270.64675212306133,276.7410558404627,270.64675212306133,275.6620788574219,65585800,Apple
2025-11-25,275.012667049666,280.1179060838009,274.9926967216935,276.7110900878906,46914200,Apple
2025-11-26,276.70108254872224,279.26868736786383,276.3714044558947,277.29052734375,33431400,Apple
2025-11-28,277.0008150112318,278.73917862681736,275.73198274965245,278.5893249511719,20135600,Apple
2025-12-01,277.75011957449965,283.1550658399818,275.88187257202503,282.8353576660156,46587700,Apple
2025-12-02,282.7354345985028,287.1313151163589,282.36578537497866,285.9224548339844,53669500,Apple
2025-12-03,285.9324708384744,288.35019153510143,283.0351573834178,283.8843688964844,43538700,Apple
2025-12-04,283.83440686502166,284.46382276925783,278.32954829392816,280.4375915527344,43989100,Apple
2025-12-05,280.27774306596746,280.8771882481053,277.79005013345267,278.5193786621094,47265800,Apple
2025-12-08,277.86998437615557,279.4085531850005,275.8918244790692,277.6302185058594,38211800,Apple
2025-12-09,277.8999627322321,279.7682096639769,276.6611317163261,276.9208679199219,32193300,Apple
2025-12-10,277.490342786908,279.48847306800184,276.1815698919154,278.5193786621094,33038300,Apple
2025-12-11,278.83908758708685,279.3286197507982,273.5540244422053,277.77008056640625,33248000,Apple
2025-12-12,277.64021728323,278.9589906850317,276.5612402656973,278.0198669433594,39532900,Apple
2025-12-15,279.8880911943856,279.8880911943856,272.5849275039148,273.8537292480469,50409100,Apple
2025-12-16,272.5649667835892,275.2424541197232,271.53593087885605,274.353271484375,37648600,Apple
2025-12-17,274.75292651919426,275.90184538512057,271.38608172110213,271.58587646484375,50138700,Apple
2025-12-18,273.35420232069225,273.374203136776,266.7004552212896,271.935546875,51630700,Apple
2025-12-19,271.8955859651445,274.34330788170604,269.64768928264715,273.4141845703125,144632000,Apple
2025-12-22,272.6048920133635,273.62395794129594,270.25711338978425,270.7166748046875,36571800,Apple
2025-12-23,270.5868091030317,272.2452609569047,269.30800689497966,272.1053771972656,29642000,Apple
2025-12-24,272.085389177814,275.17249671786806,271.9455359163183,273.55401611328125,17910600,Apple
2025-12-26,273.9037084592662,275.1125687682936,272.6049054553,273.1444091796875,21521800,Apple
2025-12-29,272.4350823114352,274.10350406329195,272.0954038139857,273.50408935546875,23715200,Apple
2025-12-30,272.5549704076282,273.82377221524894,272.02546707967076,272.82470703125,22139600,Apple
2025-12-31,272.80472532736104,273.42414083736213,271.49595243002375,271.6058349609375,27293600,Apple
2026-01-02,272.0054842546519,277.58025431004916,268.7485221479618,270.75665283203125,37838100,Apple
2026-01-05,270.38700744645297,271.25618925068443,265.89121426121545,267.0101623535156,45647200,Apple
2026-01-06,266.7503924619391,267.2998660934885,261.8749496989937,262.1147155761719,52352100,Apple
2026-01-07,262.95395138764474,263.4334831315393,259.56710600115036,260.08660888671875,48309800,Apple
2026-01-08,256.7797203952787,259.0476178563403,255.46096229095477,258.7978515625,50419300,Apple
2026-01-09,258.8377955175017,259.9667440583015,255.98048371428257,259.1275329589844,39997000,Apple
2026-01-12,258.9177364764393,261.05572011368304,256.5599267903311,260.0067138671875,45263800,Apple
2026-01-13,258.4781303943212,261.56523797230057,258.148452318208,260.8059387207031,45730800,Apple
2026-01-14,259.247418118488,261.57525710051715,256.4700180914029,259.71697998046875,40019400,Apple
2026-01-15,260.40631875644857,260.7959687899761,256.8096782083212,257.9685974121094,39388600,Apple
2026-01-16,257.6589020182799,258.6579671912775,254.69167723491495,255.29112243652344,72142800,Apple
2026-01-20,252.49373739571587,254.55180921698133,243.19244305608962,246.46937561035156,80267500,Apple
2026-01-21,248.46750904444812,251.3248360900433,244.9507953165175,247.41848754882812,54641700,Apple
2026-01-22,248.96703988447874,250.76536025794266,247.9180183962477,248.1178436279297,39708300,Apple
2026-01-23,247.08880782235642,249.17685039145397,244.45126111041233,247.80812072753906,41689000,Apple
2026-01-26,251.24490015634893,256.32015295784896,249.5664780183616,255.17123413085938,55969200,Apple
2026-01-27,258.92771692213245,261.70511669708895,257.96859246831417,258.0285339355469,49648300,Apple
2026-01-28,257.409147241713,258.61800761819165,254.27208306792676,256.2002868652344,41288000,Apple
2026-01-29,257.75880668092503,259.4072580677027,254.17216647920577,258.0385437011719,67253000,Apple
2026-01-30,254.93144331105526,261.6551472598355,251.94423313215475,259.2374267578125,92443400,Apple
2026-02-02,259.7869174093499,270.2371306501278,258.9676766447768,269.7575988769531,73913400,Apple
